REF_CTR,STATUT_CTR,REF_CTR_PAPIER_CTR,SERVICE_CTR,TYP_CTR,DAT_SIGN_CTR,DAT_DEB_CTR,DAT_RESIL_CTR,DAT_PROCH_VERS_CTR,CA_CTR,CA_EXP_CTR,CA_IMP_CTR,LIM_FIN_CTR,DEVISE_CTR,NB_ACH_PREVU_CTR,NB_FACT_PREVU_CTR,NB_AVOIRS_PREVU_CTR,NB_REMISES_PREVU_CTR,DELAI_MOYEN_REG_CTR,DELAI_MAX_REG_CTR,FACT_REG_CTR,DERN_MONT_DISP_2,MIN_COMM_FACT
92,V    ,008/2017,,0    ,2018-06-26,2018-06-26,2018-06-26,2018-06-26,1000000.0,0.0,1000000.0,350000.0,TND,30,100,10,30,120,120.0,True,0.0,
93,V    ,004/2018,,0    ,2018-06-29,2018-06-29,2018-06-29,2018-06-29,1000000.0,0.0,1000000.0,350000.0,TND,10,100,10,50,120,120.0,True,0.0,
94,V    ,008/2018,,0    ,2018-07-09,2018-07-09,2018-07-09,2018-07-09,200000.0,0.0,200000.0,60000.0,TND,1,50,10,50,120,30.0,True,0.0,
95,V    ,010/2018,,0    ,2018-07-12,2018-07-12,2018-07-12,2018-07-12,2000000.0,0.0,2000000.0,500000.0,TND,25,250,10,20,90,90.0,True,0.0,
96,V    ,013/2018,,0    ,2018-10-03,2018-10-03,2018-10-03,2018-10-03,5000000.0,0.0,5000000.0,2500000.0,TND,200,500,0,3,120,120.0,True,0.0,
97,V    ,014/2018,,0    ,2018-10-18,2018-10-18,2018-10-18,2018-10-18,1200000.0,0.0,1200000.0,400000.0,TND,3,50,10,50,120,30.0,True,0.0,
98,V    ,006/2018,,0    ,2018-11-02,2018-11-02,2018-11-02,2018-11-02,500000.0,0.0,500000.0,200000.0,TND,10,100,10,30,120,120.0,True,0.0,
99,V    ,013-2018,,0    ,2018-11-05,2018-11-05,2018-11-05,2018-11-05,500000.0,0.0,500000.0,100000.0,TND,10,100,10,30,60,60.0,True,0.0,
100,V    ,016/2018,,0    ,2018-11-12,2018-11-12,2018-11-12,2018-11-12,1500000.0,0.0,1500000.0,500000.0,TND,15,100,10,100,120,30.0,True,0.0,
101,V    ,017/2018,,0    ,2018-12-13,2018-12-13,2018-12-13,2018-12-13,1200000.0,0.0,1200000.0,400000.0,TND,6,50,10,50,120,30.0,True,0.0,
102,V    ,0012019,,0    ,2019-01-02,2019-01-02,2019-01-02,2019-01-02,10000000.0,0.0,10000000.0,3300000.0,TND,5,10,0,12,0,120.0,True,0.0,
103,V    ,0022019,,0    ,2019-01-28,2019-01-28,2019-01-28,2019-01-28,300000.0,0.0,300000.0,100000.0,TND,5,50,5,20,0,120.0,True,0.0,
104,V    ,0032019,,0    ,2019-01-28,2019-01-28,2019-01-28,2019-01-28,450000.0,0.0,450000.0,150000.0,TND,10,2,10,20,120,120.0,True,0.0,
105,V    ,005/2019,,0    ,2019-02-25,2019-02-25,2019-02-25,2019-02-25,450000.0,0.0,450000.0,150000.0,TND,10,100,10,20,120,120.0,True,0.0,
