NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
02,3127,2021,18,,2021-08-31,2,20000.0,,,True,2021-08-31,
02,3128,2021,137,,2021-09-08,2,10000.0,,,True,2021-09-06,
0207,41,2019,8,,2019-12-02,2,421735.15,,,True,2019-12-02,
0208,41,2019,8,,2019-12-09,1,165454.92,,,True,2019-12-09,
0224,50,2019,204,,2019-11-26,1,4543.45,,,True,2019-11-26,
0225,50,2019,204,,2019-11-29,1,15639.0,,,True,2019-11-29,
0226,50,2019,204,,2019-12-06,1,26389.5,,,True,2019-12-06,
0227,50,2019,204,,2019-12-09,1,28125.6,,,True,2019-12-09,
0228,50,2019,204,,2019-12-09,1,4285.133,,,True,2019-12-09,
0229,50,2019,204,,2019-12-13,1,8212.05,,,True,2019-12-13,
0230,50,2019,204,,2019-12-16,1,15923.203,,,True,2019-12-16,
0231,50,2019,204,,2019-12-16,1,29396.1,,,True,2019-12-16,
0233,42,2019,9,,2019-12-02,2,327858.447,,,True,2019-12-02,
0234,42,2019,9,,2019-12-09,2,320542.691,,,True,2019-12-09,
0270,48,2019,202,,2019-11-29,1,524.747,,,True,2019-11-29,
0271,48,2019,202,,2019-11-29,3,6382.765,,,True,2019-11-29,
0272,48,2019,202,,2019-12-06,1,3093.648,,,True,2019-12-06,
0273,48,2019,202,,2019-12-06,1,2999.4,,,True,2019-12-06,
0274,48,2019,202,,2019-12-06,1,1945.536,,,True,2019-12-06,
0275,48,2019,202,,2019-12-06,2,4136.034,,,True,2019-12-06,
0276,48,2019,202,,2019-12-09,3,29000.589,,,True,2019-12-09,
0277,48,2019,202,,2019-12-09,1,4636.897,,,True,2019-12-09,
0278,48,2019,202,,2019-12-09,1,34366.848,,,True,2019-12-09,
0279,48,2019,202,,2019-12-09,1,2095.6,,,True,2019-12-09,
0280,48,2019,202,,2019-12-11,1,5290.418,,,True,2019-12-11,
0281,48,2019,202,,2019-12-11,1,9114.096,,,True,2019-12-11,
0282,48,2019,202,,2019-12-12,1,1739.49,,,True,2019-12-12,
029,57,2019,309,,2019-12-23,91,553416.96,,,True,2019-12-23,
03,35,2014,162,,2014-07-18,1,91635.146,,,True,,
03,36,2014,163,,2014-08-28,1,5707.361,,,True,,
03,37,2015,171,,2015-09-28,1,467.28,,,True,2015-09-29,
03,39,2015,178,,2015-03-26,1,18880.996,,,True,2015-03-26,
03,40,2017,183,,2017-03-01,1,256000.0,,,True,2017-03-01,
03,47,2016,200,,2016-12-28,2,271400.0,,,True,2016-12-29,
03,49,2015,203,,2015-12-19,1,139792.24,,,True,2015-12-22,
03,51,2015,208,,2015-12-21,1,122726.5,,,True,2015-12-22,
03,52,2016,215,,2016-02-25,2,122089.3,,,True,2016-02-27,
03,53,2016,227,,2016-03-23,5,32495.261,,,True,2016-03-24,
03,54,2016,246,,2016-08-19,1,20000.0,,,True,2016-08-22,
03,55,2016,249,,2016-07-01,9,11215.048,,,True,2016-07-04,
03,57,2016,309,,2016-12-29,111,592772.399,,,True,2016-12-29,
03,58,2016,318,,2016-12-13,7,9236.826,,,True,2016-12-14,
03,59,2018,337,,2018-09-04,1,500000.0,,,True,2018-09-04,
03,60,2017,338,,2017-04-19,4,22889.385,,,True,2017-04-20,
03,61,2017,378,,2017-01-12,2,59043.79,,,True,2017-01-12,
03,63,2017,211,,2017-04-05,1,282437.5,,,True,2017-04-05,
03,64,2017,442,,2017-02-03,7,14802.903,,,True,2017-02-03,
03,65,2017,445,,2017-04-06,2,716000.803,,,True,2017-04-08,
03,66,2017,447,,2017-04-08,1,10454.802,,,True,2017-04-11,
03,67,2017,448,,2017-04-25,1,24815.7,,,True,2017-04-25,
03,68,2017,456,,2017-04-28,1,1038.9,,,True,2017-04-28,
03,69,2017,463,,2017-05-09,3,34109.5,,,True,2017-05-11,
03,70,2017,473,,2017-12-07,1,39395.664,,,True,2017-12-07,
03,71,2017,484,,2017-06-09,2,305662.217,,,True,2017-06-09,
03,72,2017,491,,2017-07-26,1,50150.5,,,True,2017-07-26,
03,73,2017,511,,2017-08-07,3,13866.5,,,True,2017-08-07,
03,74,2017,18,,2017-11-13,2,2631700.602,,,True,2017-11-13,
03,75,2018,555,,2018-09-13,1,304632.0,,,True,2018-09-13,
03,83,2018,567,,2018-03-01,1,51454.825,,,True,2018-03-01,
03,84,2018,572,,2018-05-29,2,62071.6,,,True,2018-05-29,
03,85,2018,571,,2018-02-27,1,24942.229,,,True,2018-02-27,
03,86,2018,585,,2018-06-01,1,68758.896,,,True,2018-06-01,
03,88,2020,588,,2020-08-11,1,25000.0,,,True,2020-08-11,
03,92,2018,679,,2018-07-05,2,25313.293,,,True,2018-07-05,
03,94,2018,685,,2018-08-30,1,15841.77,,,True,2018-08-30,
03,95,2018,686,,2018-07-26,7,23837.364,,,True,2018-07-26,
03,98,2019,824,,2019-04-10,8,11356.209,,,True,2019-04-10,
03,100,2018,842,,2018-12-03,1,55294.01,,,True,2018-12-03,
03,101,2019,539,,2019-02-27,2,106651.531,,,True,2019-02-27,
03,102,2019,873,,2019-02-13,2,291076.0,,,True,2019-02-13,
03,103,2019,881,,2019-02-27,1,30505.367,,,True,2019-02-27,
03,108,2020,981,,2020-06-24,1,520526.215,,,True,2020-06-24,
03,109,2019,988,,2019-09-24,2,150415.03,,,True,2019-09-24,
03,112,2019,997,,2019-11-05,1,147029.124,,,True,2019-11-05,
03,113,2019,999,,2019-06-27,2,25407.7,,,True,2019-06-27,
03,121,2019,1031,,2019-08-22,18,34966.3,,,True,2019-08-22,
03,122,2019,1045,,2019-10-10,1,34362.344,,,True,2019-10-10,
03,123,2019,1057,,2019-11-05,25,14759.39,,,True,2019-11-05,
03,125,2020,1097,,2020-01-21,2,30763.39,,,True,2020-01-21,
03,126,2020,1136,,2020-07-09,8,68588.412,,,True,2020-07-09,
03,128,2020,1159,,2020-06-04,1,119005.838,,,True,2020-06-04,
03,1128,2020,2176,,2020-08-10,1,97051.252,,,True,2020-08-10,
03,1129,2020,2177,,2020-07-23,1,97055.337,,,True,2020-07-23,
039,68,2019,456,,2019-12-04,13,129096.62,,,True,2019-12-04,
04,35,2014,162,,2014-08-14,1,64496.031,,,True,,
04,37,2016,171,,2016-12-31,3,311970.2,,,True,2016-12-31,
04,39,2015,178,,2015-04-25,1,18841.368,,,True,2015-04-25,
04,40,2017,183,,2017-03-16,1,720000.0,,,True,2017-03-17,
04,47,2017,200,,2017-02-09,1,95000.0,,,True,2017-02-09,
04,48,2015,202,,2015-11-26,1,36129.128,,,True,2015-11-26,
04,50,2016,204,,2016-03-23,2,29694.416,,,True,2016-03-26,
04,52,2016,215,,2016-03-24,31,70553.7,,,True,2016-03-28,
04,53,2016,227,,2016-04-07,13,25318.767,,,True,2016-04-08,
04,54,2016,246,,2016-10-03,1,30680.5,,,True,2016-10-03,
04,55,2016,249,,2016-07-20,11,14526.961,,,True,2016-07-20,
04,56,2016,252,,2016-10-01,1,14833.05,,,True,2016-11-03,
04,56,2017,252,,2017-01-04,1,14478.05,,,True,2017-01-04,
04,57,2016,309,,2016-12-29,16,41781.66,,,True,2016-12-30,
04,58,2016,318,,2016-12-17,5,5251.169,,,True,2016-12-17,
04,59,2018,337,,2018-09-10,5,72969.149,,,True,2018-09-10,
04,60,2017,338,,2017-05-06,9,36421.934,,,True,2017-05-08,
04,61,2017,378,,2017-01-25,1,17363.3,,,True,2017-01-27,
04,64,2017,442,,2017-02-16,10,9274.538,,,True,2017-02-16,
04,66,2017,447,,2017-05-03,1,8688.101,,,True,2017-05-03,
04,67,2017,448,,2017-05-26,1,71385.4,,,True,2017-05-26,
