ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11775,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00082019,761
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11774,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00092019,762
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11773,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00102019,763
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11772,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00112019,764
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11771,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00122019,765
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11770,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00132019,766
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11768,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02232018,767
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11767,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02242018,768
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11766,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02252018,769
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11765,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02262018,770
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11764,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02272018,771
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11763,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02052018,772
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11762,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02062018,773
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11761,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02092018,774
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11760,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02222018,775
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11759,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02212018,776
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11758,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV14142018,777
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11757,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02202018,778
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11756,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02192018,779
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11754,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02172018,780
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11755,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02182018,781
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11753,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02162018,782
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11752,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02152018,783
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11751,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02142018,784
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11750,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02132018,785
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11749,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02122018,786
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11748,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02112018,787
