ID_DET_BORD,REF_CTR_DET_BORD,ANNEE_BORD,NUM_BORD,TYP_DET_BORD,NUM_CREANCE_ASS_BORD,TYP_ASS_DET_BORD,DAT_DET_BORD,MONT_TTC_DET_BORD,DEVISE_DET_BORD,ECH_DET_BORD,ECH_APR_PROROG_DET_BORD,MONT_OUV_DET_BORD,DELAI_PAIE_DET_BORD,MODE_REG_DET_BORD,TYP_REG_DET_BORD,TX_FDG_DET_BORD,TX_COMM_FACT_DET_BORD,ANNUL_DET_BORD,VALIDE_DET_BORD,REF_IND_DET_BORD,MONT_FDG_DET_BORD,MONT_FDG_LIBERE_DET_BORD,MONT_COMM_FACT_DET_BORD,TX_TVA_COMM_FACT_DET_BORD,MONT_TVA_COMM_FACT_DET_BORD,MONT_TTC_COMM_FACT_DET_BORD,ID_CALC_DISPO_DET_BORD,REF_DET_BORD,COMM_DET_BORD,RETENU_DET_BORD
30218,57,2019,25,fact ,30218,,2019-08-01,1246.219,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,1044,0.0,99.697,6.231,0.19,1.183,7.415,,,,0.0
30219,57,2019,25,fact ,30219,,2019-07-17,5247.634,TND,120.0,,0.0,,C    ,,8.0,0.005,False,True,258,0.0,419.81,26.238,0.19,4.985,31.223,,,,0.0
30220,98,2019,12,fact ,30220,,2019-07-02,950.577,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,443,0.0,142.586,9.505,0.19,1.806,11.311,,,,0.0
30221,98,2019,12,fact ,30221,,2019-07-02,958.053,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,443,0.0,143.707,9.58,0.19,1.82,11.4,,,,28.628
30222,98,2019,12,fact ,30222,,2019-07-02,292.642,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,443,0.0,43.896,2.926,0.19,0.556,3.482,,,,
30223,98,2019,12,fact ,30223,,2019-08-07,1474.113,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,250,0.0,221.117,14.741,0.19,2.8,17.541,,,,0.0
30224,98,2019,12,fact ,30224,,2019-08-07,4223.761,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,250,0.0,633.564,42.237,0.19,8.025,50.262,,,,151.369
30225,98,2019,12,fact ,30225,,2019-08-07,637.024,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,151,0.0,95.553,6.37,0.19,1.21,7.58,,,,9.555
30226,98,2019,12,fact ,30226,,2019-08-07,1517.325,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,151,0.0,227.598,15.173,0.19,2.882,18.056,,,,20.494
30227,98,2019,12,fact ,30227,,2019-08-07,2683.398,TND,120.0,,165.175,,T    ,,15.0,0.01,False,True,152,24.776,402.509,26.833,0.19,5.098,31.932,,,,75.997
